name	x	y	z	type
Fpz	88.247	-0.1123	-1.713	EEG
Fp1	83.917	29.437	-6.99	EEG
Fp2	84.896	-29.872	-7.08	EEG
Fz	58.512	-0.3122	66.462	EEG
F3	53.111	50.244	42.192	EEG
F4	54.305	-51.836	40.814	EEG
F7	42.474	70.263	-11.42	EEG
F8	44.422	-73.043	-12	EEG
FCz	27.39	-0.3761	88.668	EEG
FC3	22.716	60.182	55.544	EEG
FC4	23.723	-62.293	55.63	EEG
FT7	14.12	80.775	-11.135	EEG
FT8	15.417	-81.815	-11.33	EEG
Cz	-9.167	-0.4009	100.24	EEG
C3	-11.632	65.358	64.358	EEG
C4	-10.9	-67.118	63.58	EEG
T7	-16.019	84.161	-9.346	EEG
T8	-15.02	-85.08	-9.49	EEG
CP3	-47.009	63.556	65.624	EEG
CP4	-46.637	-66.612	65.58	EEG
TP7	-46.022	84.83	-7.056	EEG
TP8	-45.545	-85.549	-7.13	EEG
Pz	-81.115	-0.3247	82.615	EEG
P3	-78.788	53.007	55.94	EEG
P4	-78.56	-55.667	56.561	EEG
P7	-73.453	72.434	-2.487	EEG
P8	-73.068	-73.056	-2.54	EEG
PO3	-100.85	36.511	37.167	EEG
PO4	-100.85	-36.782	36.397	EEG
Oz	-114.89	-0.1076	14.657	EEG
O1	-112.45	29.413	8.839	EEG
O2	-112.16	-29.843	8.8	EEG
