model,subject,task,prep,window,seed,acc,macroF1,kappa,chance
dreameeg,sub-09,AVI,lite,slide,0,0.4550,0.3894,0.1825,33.3
dreameeg,sub-01,AVI,lite,full,0,0.5000,0.4717,0.2500,33.3
dreameeg,sub-01,AVI,lite,full,1,0.4750,0.4282,0.2125,33.3
dreameeg,sub-01,AVI,lite,full,2,0.4833,0.4506,0.2250,33.3
dreameeg,sub-02,AVI,lite,full,0,0.4750,0.3998,0.2125,33.3
dreameeg,sub-02,AVI,lite,full,1,0.4833,0.4186,0.2250,33.3
dreameeg,sub-02,AVI,lite,full,2,0.4667,0.4149,0.2000,33.3
dreameeg,sub-05,AVI,lite,full,0,0.4917,0.4489,0.2375,33.3
dreameeg,sub-05,AVI,lite,full,1,0.4667,0.4026,0.2000,33.3
dreameeg,sub-05,AVI,lite,full,2,0.4250,0.3560,0.1375,33.3
dreameeg,sub-09,AVI,lite,full,0,0.4750,0.3853,0.2125,33.3
dreameeg,sub-09,AVI,lite,full,1,0.4167,0.3203,0.1250,33.3
dreameeg,sub-09,AVI,lite,full,2,0.4333,0.3370,0.1500,33.3
dreameeg,sub-10,AVI,lite,full,0,0.4250,0.3430,0.1375,33.3
dreameeg,sub-10,AVI,lite,full,1,0.3917,0.3385,0.0875,33.3
dreameeg,sub-10,AVI,lite,full,2,0.4333,0.3583,0.1500,33.3
dreameeg,sub-19,AVI,lite,full,0,0.4583,0.3961,0.1875,33.3
dreameeg,sub-19,AVI,lite,full,1,0.4167,0.3031,0.1250,33.3
dreameeg,sub-19,AVI,lite,full,2,0.4333,0.3442,0.1500,33.3
